Well ID ,latitude,longitude
PAR-1,27.83252,-97.04932
PAR-2,27.83242,-97.04934
PAR-3,27.83237,-97.04923
PAR-4,27.83231,-97.04917
PAR-5,27.83223,-97.04913
PAR-6,27.83201473,-97.04883751
PAR-7,27.8319974,-97.04888857
PAR-8,27.83203406,-97.04892852
PAR-9,27.83199697,-97.04885813
PAR-10,,
PAR-11,27.83201,-97.04888
PAR-12,27.83198,-97.04887
PAR-13,27.83195,-97.04885
PAR-14,27.83194,-97.04882
PAR-15,27.83192,-97.048881
PAR-16,27.83185,-97.04872
PAR-17,27.83181,-97.0486
PAR-18,27.83178,-97.04863
PAR-19,27.83175,-97.0486
PAR-20,27.83172,-97.04857
